
2024/02/15 (15:46:40) | ===> btop++ v.1.2.13
2024/02/15 (15:46:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/15 (16:14:28) | ===> btop++ v.1.2.13
2024/02/15 (16:14:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/15 (17:05:39) | ===> btop++ v.1.2.13
2024/02/15 (17:05:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/15 (17:08:59) | ===> btop++ v.1.2.13
2024/02/15 (17:08:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/15 (17:09:13) | ===> btop++ v.1.2.13
2024/02/15 (17:09:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
